time,x,y,z
0.0,0.0,0.0,0.0
0.02,0.0004,0.0,0.0
0.04,0.0016,0.0,0.0
0.06,0.0036,0.0,0.0
0.08,0.0064,0.0,0.0
0.1,0.010000000000000002,0.0,0.0
0.12,0.0144,0.0,0.0
0.14,0.019600000000000003,0.0,0.0
0.16,0.0256,0.0,0.0
0.18,0.0324,0.0,0.0
0.2,0.04000000000000001,0.0,0.0
0.22,0.0484,0.0,0.0
0.24,0.0576,0.0,0.0
0.26,0.06760000000000001,0.0,0.0
0.28,0.07840000000000001,0.0,0.0
0.3,0.09,0.0,0.0
0.32,0.1024,0.0,0.0
0.34,0.11560000000000002,0.0,0.0
0.36,0.1296,0.0,0.0
0.38,0.1444,0.0,0.0
0.4,0.16000000000000003,0.0,0.0
0.42,0.17639999999999997,0.0,0.0
0.44,0.1936,0.0,0.0
0.46,0.2116,0.0,0.0
0.48,0.2304,0.0,0.0
0.5,0.25,0.0,0.0
0.52,0.27040000000000003,0.0,0.0
0.54,0.2916,0.0,0.0
0.56,0.31360000000000005,0.0,0.0
0.58,0.3364,0.0,0.0
0.6,0.36,0.0,0.0
0.62,0.3844,0.0,0.0
0.64,0.4096,0.0,0.0
0.66,0.43560000000000004,0.0,0.0
0.68,0.4624000000000001,0.0,0.0
0.7000000000000001,0.4900000000000001,0.0,0.0
0.72,0.5184,0.0,0.0
0.74,0.5476,0.0,0.0
0.76,0.5776,0.0,0.0
0.78,0.6084,0.0,0.0
0.8,0.6400000000000001,0.0,0.0
0.8200000000000001,0.6724000000000001,0.0,0.0
0.84,0.7055999999999999,0.0,0.0
0.86,0.7395999999999999,0.0,0.0
0.88,0.7744,0.0,0.0
0.9,0.81,0.0,0.0
0.92,0.8464,0.0,0.0
0.9400000000000001,0.8836000000000002,0.0,0.0
0.96,0.9216,0.0,0.0
0.98,0.9603999999999999,0.0,0.0
1.0,1.0,0.0,0.0
1.02,1.0404,0.0,0.0
1.04,1.0816000000000001,0.0,0.0
1.06,1.1236000000000002,0.0,0.0
1.08,1.1664,0.0,0.0
1.1,1.2100000000000002,0.0,0.0
1.12,1.2544000000000002,0.0,0.0
1.1400000000000001,1.2996000000000003,0.0,0.0
1.16,1.3456,0.0,0.0
1.18,1.3923999999999999,0.0,0.0
1.2,1.44,0.0,0.0
1.22,1.4884,0.0,0.0
1.24,1.5376,0.0,0.0
1.26,1.5876000000000001,0.0,0.0
1.28,1.6384,0.0,0.0
1.3,1.6900000000000002,0.0,0.0
1.32,1.7424000000000002,0.0,0.0
1.34,1.7956000000000003,0.0,0.0
1.36,1.8496000000000004,0.0,0.0
1.3800000000000001,1.9044000000000003,0.0,0.0
1.4000000000000001,1.9600000000000004,0.0,0.0
1.42,2.0164,0.0,0.0
1.44,2.0736,0.0,0.0
1.46,2.1315999999999997,0.0,0.0
1.48,2.1904,0.0,0.0
1.5,2.25,0.0,0.0
1.52,2.3104,0.0,0.0
1.54,2.3716,0.0,0.0
1.56,2.4336,0.0,0.0
1.58,2.4964000000000004,0.0,0.0
1.6,2.5600000000000005,0.0,0.0
1.62,2.6244000000000005,0.0,0.0
1.6400000000000001,2.6896000000000004,0.0,0.0
1.6600000000000001,2.7556000000000003,0.0,0.0
1.68,2.8223999999999996,0.0,0.0
1.7,2.8899999999999997,0.0,0.0
1.72,2.9583999999999997,0.0,0.0
1.74,3.0276,0.0,0.0
1.76,3.0976,0.0,0.0
1.78,3.1684,0.0,0.0
1.8,3.24,0.0,0.0
1.82,3.3124000000000002,0.0,0.0
1.84,3.3856,0.0,0.0
1.86,3.4596000000000005,0.0,0.0
1.8800000000000001,3.5344000000000007,0.0,0.0
1.9000000000000001,3.6100000000000003,0.0,0.0
1.92,3.6864,0.0,0.0
1.94,3.7636,0.0,0.0
1.96,3.8415999999999997,0.0,0.0
1.98,3.9204,0.0,0.0
2.0,4.0,0.0,0.0
2.02,4.0804,0.0,0.0
2.04,4.1616,0.0,0.0
2.06,4.2436,0.0,0.0
2.08,4.3264000000000005,0.0,0.0
2.1,4.41,0.0,0.0
2.12,4.494400000000001,0.0,0.0
2.14,4.5796,0.0,0.0
2.16,4.6656,0.0,0.0
2.18,4.752400000000001,0.0,0.0
2.2,4.840000000000001,0.0,0.0
2.22,4.928400000000001,0.0,0.0
2.24,5.017600000000001,0.0,0.0
2.2600000000000002,5.1076000000000015,0.0,0.0
2.2800000000000002,5.198400000000001,0.0,0.0
2.3000000000000003,5.290000000000001,0.0,0.0
2.32,5.3824,0.0,0.0
2.34,5.475599999999999,0.0,0.0
2.36,5.569599999999999,0.0,0.0
2.38,5.6644,0.0,0.0
2.4,5.76,0.0,0.0
2.42,5.8564,0.0,0.0
2.44,5.9536,0.0,0.0
2.46,6.0516,0.0,0.0
2.48,6.1504,0.0,0.0
2.5,6.25,0.0,0.0
2.52,6.3504000000000005,0.0,0.0
2.54,6.4516,0.0,0.0
2.56,6.5536,0.0,0.0
2.58,6.6564000000000005,0.0,0.0
2.6,6.760000000000001,0.0,0.0
2.62,6.864400000000001,0.0,0.0
2.64,6.969600000000001,0.0,0.0
2.66,7.0756000000000006,0.0,0.0
2.68,7.182400000000001,0.0,0.0
2.7,7.290000000000001,0.0,0.0
2.72,7.398400000000001,0.0,0.0
2.74,7.507600000000001,0.0,0.0
2.7600000000000002,7.617600000000001,0.0,0.0
2.7800000000000002,7.7284000000000015,0.0,0.0
2.8000000000000003,7.840000000000002,0.0,0.0
2.82,7.952399999999999,0.0,0.0
2.84,8.0656,0.0,0.0
